branch_code,brand_code,periodo,mes,año,mes_num,categoria,concepto,monto
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,ingresos,INGRESOS POR VENTAS 16%,1046817.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,ingresos,INGRESOS POR VENTAS 16%,818634.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,ingresos,INGRESOS POR VENTAS 16%,983701.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,ingresos,INGRESOS POR VENTAS 16%,915076.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,costo_ventas,COMPRAS DE INVENTARIOS,287532.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,costo_ventas,COMPRAS DE INVENTARIOS,153566.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,costo_ventas,COMPRAS DE INVENTARIOS,251126.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,costo_ventas,COMPRAS DE INVENTARIOS,186388.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,costo_ventas,COSTO DE VENTA ND,13311.18
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,costo_ventas,COSTO DE VENTA ND,10081.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,costo_ventas,COSTO DE VENTA ND,7742.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,costo_ventas,COSTO DE VENTA ND,9594.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,SUELDOS Y SALARIOS,174193.84
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,SUELDOS Y SALARIOS,220971.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,SUELDOS Y SALARIOS,201772.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,SUELDOS Y SALARIOS,151944.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,HORAS EXTRAS,28586.38
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,HORAS EXTRAS,33818.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,HORAS EXTRAS,27312.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,HORAS EXTRAS,20986.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,BONOS DE ASISTENCIA,4247.5
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,BONOS DE ASISTENCIA,2605.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,BONOS DE ASISTENCIA,3112.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,BONOS DE ASISTENCIA,964.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,BONOS DE PUNTUALIDAD,4247.5
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,BONOS DE PUNTUALIDAD,2605.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,BONOS DE PUNTUALIDAD,1912.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,BONOS DE PUNTUALIDAD,1747.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,VACACIONES,1934.73
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,VACACIONES,2636.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,VACACIONES,3215.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,VACACIONES,6485.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,PRIMA VACACIONAL,483.67
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,PRIMA VACACIONAL,3128.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,PRIMA VACACIONAL,804.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,PRIMA VACACIONAL,1836.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,otros_gastos,GRATIFICACIONES,4775.85
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,otros_gastos,GRATIFICACIONES,1040.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,otros_gastos,GRATIFICACIONES,5138.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,otros_gastos,GRATIFICACIONES,783.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,AGUINALDO,461.1
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,AGUINALDO,1444.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,AGUINALDO,2152.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,AGUINALDO,2442.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,IMSS,18832.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,IMSS,16547.5
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,IMSS,18832.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,IMSS,16547.5
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,CESANTIA Y VEJEZ,21055.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,CESANTIA Y VEJEZ,21055.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,INFONAVIT,17758.5
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,INFONAVIT,17758.5
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,RETIRO,6283.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,RETIRO,6283.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,IMPUESTO SOBRE NOMINAS,5904.129600000001
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,IMPUESTO SOBRE NOMINAS,8543.835
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,IMPUESTO SOBRE NOMINAS,7927.469999999999
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,IMPUESTO SOBRE NOMINAS,6112.035
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,HONORARIOS A P.F. RESICO.,1100.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,HONORARIOS A P.F. RESICO.,2843.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,HONORARIOS A P.F. RESICO.,1100.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,renta,RENTAS A P.M.,130460.89
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,renta,RENTAS A P.M.,175656.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,renta,RENTAS A P.M.,113444.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,renta,RENTAS A P.M.,113444.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,combustibles,COMBUSTIBLES Y LUBRICANTES,1738.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,combustibles,COMBUSTIBLES Y LUBRICANTES,648.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,telecomunicaciones,TELEFONOS E INTERNET,1265.66
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,telecomunicaciones,TELEFONOS E INTERNET,1265.66
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,telecomunicaciones,TELEFONOS E INTERNET,1265.66
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,telecomunicaciones,TELEFONOS E INTERNET,1265.66
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,aseo_limpieza,ASEO Y LIMPIEZA,16246.17
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,aseo_limpieza,ASEO Y LIMPIEZA,11908.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,aseo_limpieza,ASEO Y LIMPIEZA,19880.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,aseo_limpieza,ASEO Y LIMPIEZA,19624.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,papeleria_oficina,PAPELERIA Y ARTICULOS DE OFICINA,6781.03
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,papeleria_oficina,PAPELERIA Y ARTICULOS DE OFICINA,1341.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,papeleria_oficina,PAPELERIA Y ARTICULOS DE OFICINA,7981.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,papeleria_oficina,PAPELERIA Y ARTICULOS DE OFICINA,13890.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,mantenimiento,MTTO DE INMUEBLES,9500.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,mantenimiento,MTTO DE INMUEBLES,26348.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,mantenimiento,MTTO DE INMUEBLES,18667.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,mantenimiento,MTTO DE INMUEBLES,17017.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,cuotas_suscripciones,CUOTAS Y SUSCRIPCIONES,16779.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,cuotas_suscripciones,CUOTAS Y SUSCRIPCIONES,13600.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,marketing,PROPAGANDA Y PUBLICIDAD,17810.89
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,marketing,PROPAGANDA Y PUBLICIDAD,58757.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,marketing,PROPAGANDA Y PUBLICIDAD,62002.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,marketing,PROPAGANDA Y PUBLICIDAD,41590.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,fletes,FLETES Y ACARREOS,953.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,fletes,FLETES Y ACARREOS,4168.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,uniformes,UNIFORMES,18096.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,uniformes,UNIFORMES,14619.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,herramientas,HERRAMIENTAS Y UTENSILIOS,2294.5
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,herramientas,HERRAMIENTAS Y UTENSILIOS,1163.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,herramientas,HERRAMIENTAS Y UTENSILIOS,8685.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,herramientas,HERRAMIENTAS Y UTENSILIOS,2421.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,AJUSTE DE NOMINA,1.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,AJUSTE DE NOMINA,1.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,desechables,DESECHABLES,26.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,desechables,DESECHABLES,31160.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,desechables,DESECHABLES,73236.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,renta,BODEGAS,1983.0
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,renta,BODEGAS,1983.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,renta,BODEGAS,1983.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,renta,BODEGAS,1983.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,nomina_rrhh,PRIMA DOMINICAL,3547.61
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,nomina_rrhh,PRIMA DOMINICAL,4955.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,nomina_rrhh,PRIMA DOMINICAL,6480.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,nomina_rrhh,PRIMA DOMINICAL,5003.0
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,otros_gastos,DIVERSOS N/D,5772.45
SG-001-MER-LAISLA,SG,2026-01,Enero,2026,1,comisiones_bancarias,COMISIONES BANCARIAS,1171.7
SG-001-MER-LAISLA,SG,2026-02,Febrero,2026,2,comisiones_bancarias,COMISIONES BANCARIAS,13602.0
SG-001-MER-LAISLA,SG,2026-03,Marzo,2026,3,comisiones_bancarias,COMISIONES BANCARIAS,16390.0
SG-001-MER-LAISLA,SG,2026-04,Abril,2026,4,comisiones_bancarias,COMISIONES BANCARIAS,17167.0
SG-002-MER-PDM,SG,2026-01,Enero,2026,1,ingresos,INGRESOS POR VENTAS 16%,888648.0
SG-002-MER-PDM,SG,2026-02,Febrero,2026,2,ingresos,INGRESOS POR VENTAS 16%,628596.0
SG-002-MER-PDM,SG,2026-03,Marzo,2026,3,ingresos,INGRESOS POR VENTAS 16%,448068.0
SG-002-MER-PDM,SG,2026-04,Abril,2026,4,ingresos,INGRESOS POR VENTAS 16%,538944.0
SG-002-MER-PDM,SG,2026-01,Enero,2026,1,costo_ventas,COMPRAS DE INVENTARIO,213289.0
SG-002-MER-PDM,SG,2026-02,Febrero,2026,2,costo_ventas,COMPRAS DE INVENTARIO,153256.0
SG-002-MER-PDM,SG,2026-03,Marzo,2026,3,costo_ventas,COMPRAS DE INVENTARIO,180564.0
SG-002-MER-PDM,SG,2026-04,Abril,2026,4,costo_ventas,COMPRAS DE INVENTARIO,168122.0
SG-002-MER-PDM,SG,2026-01,Enero,2026,1,costo_ventas,COSTO DE VENTA ND,8240.29
SG-002-MER-PDM,SG,2026-02,Febrero,2026,2,costo_ventas,COSTO DE VENTA ND,7843.0
SG-002-MER-PDM,SG,2026-03,Marzo,2026,3,costo_ventas,COSTO DE VENTA ND,7883.0
SG-002-MER-PDM,SG,2026-04,Abril,2026,4,costo_ventas,COSTO DE VENTA ND,5803.0
SG-002-MER-PDM,SG,2026-01,Enero,2026,1,nomina_rrhh,SUELDOS Y SALARIOS,114625.82
SG-002-MER-PDM,SG,2026-02,Febrero,2026,2,nomina_rrhh,SUELDOS Y SALARIOS,174079.0
SG-002-MER-PDM,SG,2026-03,Marzo,2026,3,nomina_rrhh,SUELDOS Y SALARIOS,178565.0
