brand_code,plataforma,periodo,nombre_campana,estado,resultados,gasto_mxn,impresiones,alcance,costo_por_resultado,pct_del_gasto,observacion
SG,Meta Ads,2026-02 a 2026-05,SG_MX_POST8,Inactiva,12292,5068.12,199522,120406,0.41,0.18650505240822443,
SG,Meta Ads,2026-02 a 2026-05,POST-CROISSANT-JIBERICO,Inactiva,3728,2544.36,299435,89793,0.68,0.09363156261994388,
SG,Meta Ads,2026-02 a 2026-05,POST-ALMUERZO,Inactiva,3089,2313.57,130022,63787,0.75,0.08513857092967331,
SG,Meta Ads,2026-02 a 2026-05,POST-FRAPPES,Inactiva,2239,2073.15,148407,67221,0.93,0.07629119859042614,
SG,Meta Ads,2026-02 a 2026-05,POST_NUEVO_ABRIL,Activa,2051,1599.38,139431,53321,0.78,0.05885662745173082,
SG,Meta Ads,2026-02 a 2026-05,CAMPAÑA_RAPPI_SG,Activa,1688,1581.36,92993,47420,0.94,0.05819349772228554,
SG,Meta Ads,2026-02 a 2026-05,POST_ALEXUBAGO_DINAMICA_1,Inactiva,1675,1057.96,101047,50489,0.63,0.03893255985371403,
SG,Meta Ads,2026-02 a 2026-05,SG_MX_POST14_CROISSANT_DUBAI,Inactiva,1409,1625.38,92139,40100,1.15,0.059813418404315574,
SG,Meta Ads,2026-02 a 2026-05,SG_MX_POST14,Inactiva,1403,1166.55,58902,29531,0.83,0.042928634066836266,
SG,Meta Ads,2026-02 a 2026-05,NUEVOS COMBOS,Activa,1294,1009.66,88465,35706,0.78,0.03715513666102774,
SG,Meta Ads,2026-02 a 2026-05,CAMPAÑA RAPPI,Inactiva,1003,685.73,47146,23027,0.68,0.025234625381382395,
SG,Meta Ads,2026-02 a 2026-05,REEL-CRIBERICO,Inactiva,947,909.49,45440,22410,0.96,0.033468915517934864,
SG,Meta Ads,2026-02 a 2026-05,COMBO ENVOLTINI ATUN,Activa,801,761.64,46935,25735,0.95,0.028028086966409647,
SG,Meta Ads,2026-02 a 2026-05,SGMX_GIVEAWAYGLORIAS_POST,Inactiva,737,257.76,21775,15700,0.35,0.009485478305317145,
SG,Meta Ads,2026-02 a 2026-05,POST-UBAGO-VID,Inactiva,585,547.49,42234,25537,0.94,0.02014744148579331,
SG,Meta Ads,2026-02 a 2026-05,POST-DELIVERY-NUEVO,Inactiva,660,1145.49,51190,25257,1.74,0.04215363339524262,
SG,Meta Ads,2026-02 a 2026-05,NUEVA CAMPAÑA TRAFICO 2,Activa,447,392.7,32172,21584,0.88,0.01445122334923201,
SG,Meta Ads,2026-02 a 2026-05,POST-LIBROS,Inactiva,317,194.48,12398,8630,0.61,0.007156796325333948,
SG,Meta Ads,2026-02 a 2026-05,BENEDICTINA-POST-SG,Inactiva,300,257.28,15898,11600,0.86,0.00946781447234635,
SG,Meta Ads,2026-02 a 2026-05,POST_NUESTRAS_SANTAS,Inactiva,214,211.99,13284,8591,0.99,0.0078011582322477565,
SG,Meta Ads,2026-02 a 2026-05,MOMENTOS GLORIOSOS,Activa,311,271.49,16823,13741,0.87,0.00999073752758594,
SG,Meta Ads,2026-02 a 2026-05,ENSALADA COMBO,Activa,250,149.24,16558,12751,0.6,0.005491980067836479,
SG,Meta Ads,2026-02 a 2026-05,POST_IBERICO,Inactiva,541,605.76,49406,27203,1.12,0.022291757209143833,
SG,Meta Ads,2026-02 a 2026-05,REEL-CHAILATTE,Inactiva,329,487.44,18914,11102,1.48,0.01793762238184276,
SG,Meta Ads,2026-02 a 2026-05,SG-BRIOCHEPOST,Inactiva,251,256.7,15626,10875,1.02,0.009446470674173306,
AMC,Meta Ads,2026-02 a 2026-05,ALLO_CARR_NUEVOMENU,Activa,8159,5278.52,385564,119990,0.65,0.21011384755867227,Campaña líder activa. Mayor volumen del período. CxR eficiente.
AMC,Meta Ads,2026-02 a 2026-05,ALLO_REEL_COMIDAS,Inactiva,7474,4398.8,389313,193582,0.59,0.17509619981379013,Segunda mejor eficiencia. Reactivar — alto potencial de escala.
AMC,Meta Ads,2026-02 a 2026-05,POST_WAFFLES-FRESA,Inactiva,4121,2976.93,230702,101330,0.72,0.11849802903329686,Buen balance. Evaluar reactivación con nuevo creativo.
AMC,Meta Ads,2026-02 a 2026-05,REEL_MENUCOMIDA,Inactiva,3961,3094.15,127644,57936,0.78,0.12316402351865026,Resultados sólidos. Evaluar reactivación.
AMC,Meta Ads,2026-02 a 2026-05,POST_ALLO_2X1,Activa,3035,2230.29,206173,77415,0.73,0.08877769016156634,Activa con buena tracción. Promoción 2x1 funciona.
AMC,Meta Ads,2026-02 a 2026-05,POST-AVOCADOTOAST,Inactiva,2041,2027.65,144049,65434,0.99,0.08071151440220778,CxR en límite. No reactivar sin mejora de creativo.
AMC,Meta Ads,2026-02 a 2026-05,POST_ALLO_ABRIL,Activa,1761,1610.03,110892,49879,0.91,0.06408796366877251,Activa. CxR aceptable. Monitorear.
AMC,Meta Ads,2026-02 a 2026-05,ALLO_COMBOS_ANUN,Activa,1082,1015.78,74629,39343,0.94,0.040433576849788974,Activa. CxR en límite superior. Monitorear.
