fecha,semana,dia_semana,branch_code,brand_code,documentos,comensales,venta_neta,iva,venta_total,ticket_medio,gasto_comensal,meta_diaria,gap_vs_meta,cumplimiento,semaforo,estado_kpi
2026-01-01,1,Jueves,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-01,1,Jueves,SG-002-MER-PDM,SG,183,0,38118.1,6098.9,44217.0,233.1,49.54,22177.42,15940.68,1.0,verde,Excelente
2026-01-01,1,Jueves,SG-001-MER-LAISLA,SG,155,0,41273.6,5692.91,35580.69,219.72,40.09,45743.65,-10162.96,0.9,amarillo,Saludable
2026-01-02,1,Viernes,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-02,1,Viernes,SG-002-MER-PDM,SG,205,0,44839.74,7174.36,52014.1,188.3,42.9,22177.42,22662.32,1.0,verde,Excelente
2026-01-02,1,Viernes,SG-001-MER-LAISLA,SG,264,0,57196.4,7889.16,49307.24,204.5,41.61,45743.65,3563.59,1.0,verde,Excelente
2026-01-03,1,Sábado,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-03,1,Sábado,SG-002-MER-PDM,SG,191,0,42257.07,6761.13,49018.2,201.91,38.07,22177.42,20079.65,1.0,verde,Excelente
2026-01-03,1,Sábado,SG-001-MER-LAISLA,SG,249,0,59727.5,8238.28,51489.22,188.82,38.78,45743.65,5745.57,1.0,verde,Excelente
2026-01-04,1,Domingo,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-04,1,Domingo,SG-002-MER-PDM,SG,223,0,44963.02,7194.08,52157.1,221.17,43.93,22177.42,22785.6,1.0,verde,Excelente
2026-01-04,1,Domingo,SG-001-MER-LAISLA,SG,259,0,61296.8,8454.73,52842.07,162.73,40.6,45743.65,7098.42,1.0,verde,Excelente
2026-01-05,2,Lunes,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-05,2,Lunes,SG-002-MER-PDM,SG,148,0,28293.71,4526.99,32820.7,188.03,38.14,22177.42,6116.29,1.0,verde,Excelente
2026-01-05,2,Lunes,SG-001-MER-LAISLA,SG,166,0,36833.3,5080.46,31752.84,199.52,41.65,45743.65,-13990.8,0.81,rojo,Riesgo
2026-01-06,2,Martes,SG-002-MER-PDM,SG,119,0,21169.14,3387.06,24556.2,206.08,42.3,22177.42,-1008.28,0.95,verde,Saludable
2026-01-06,2,Martes,SG-001-MER-LAISLA,SG,146,0,32884.6,4535.81,28348.79,214.37,44.64,45743.65,-17394.86,0.72,rojo,Problema
2026-01-06,2,Martes,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-07,2,Miércoles,SG-001-MER-LAISLA,SG,154,0,30879.2,4259.2,26620.0,197.09,38.85,45743.65,-19123.65,0.68,rojo,Problema
2026-01-07,2,Miércoles,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-07,2,Miércoles,SG-002-MER-PDM,SG,136,0,24025.09,3844.01,27869.1,171.98,40.95,22177.42,1847.67,1.0,verde,Excelente
2026-01-08,2,Jueves,SG-001-MER-LAISLA,SG,200,0,43095.1,5944.15,37150.95,231.03,40.54,45743.65,-8592.7,0.94,amarillo,Saludable
2026-01-08,2,Jueves,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-08,2,Jueves,SG-002-MER-PDM,SG,105,0,19755.17,3160.83,22916.0,181.77,41.2,22177.42,-2422.25,0.89,amarillo,Riesgo
2026-01-09,2,Viernes,SG-001-MER-LAISLA,SG,171,0,32880.3,4535.21,28345.09,247.86,39.2,45743.65,-17398.56,0.72,rojo,Problema
2026-01-09,2,Viernes,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-09,2,Viernes,SG-002-MER-PDM,SG,141,0,25711.64,4113.86,29825.5,221.37,39.42,22177.42,3534.22,1.0,verde,Excelente
2026-01-10,2,Sábado,SG-001-MER-LAISLA,SG,225,0,51195.5,7061.45,44134.05,203.32,38.28,45743.65,-1609.6,1.0,verde,Excelente
2026-01-10,2,Sábado,SG-002-MER-PDM,SG,165,0,29843.1,4774.9,34618.0,207.1,36.53,22177.42,7665.68,1.0,verde,Excelente
2026-01-10,2,Sábado,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-11,2,Domingo,SG-002-MER-PDM,SG,213,0,39882.33,6381.17,46263.5,224.53,39.84,22177.42,17704.91,1.0,verde,Excelente
2026-01-11,2,Domingo,SG-001-MER-LAISLA,SG,377,0,57882.3,7983.77,49898.53,211.15,36.34,45743.65,4154.89,1.0,verde,Excelente
2026-01-11,2,Domingo,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-12,3,Lunes,SG-002-MER-PDM,SG,121,0,21691.38,3470.62,25162.0,210.31,41.39,22177.42,-486.04,0.98,verde,Saludable
2026-01-12,3,Lunes,SG-001-MER-LAISLA,SG,139,0,26815.3,3698.66,23116.64,195.39,38.93,45743.65,-22627.01,0.59,rojo,Problema
2026-01-12,3,Lunes,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-13,3,Martes,SG-002-MER-PDM,SG,81,0,12800.17,2048.03,14848.2,186.31,39.13,22177.42,-9377.25,0.58,rojo,Problema
2026-01-13,3,Martes,SG-001-MER-LAISLA,SG,114,0,22984.0,3170.21,19813.79,184.99,38.36,45743.65,-25929.86,0.5,rojo,Problema
2026-01-13,3,Martes,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-14,3,Miércoles,SG-002-MER-PDM,SG,101,0,18386.21,2941.79,21328.0,215.21,36.95,22177.42,-3791.21,0.83,rojo,Riesgo
2026-01-14,3,Miércoles,SG-001-MER-LAISLA,SG,155,0,32960.3,4546.25,28414.05,198.26,38.35,45743.65,-17329.6,0.72,rojo,Problema
2026-01-14,3,Miércoles,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-15,3,Jueves,SG-001-MER-LAISLA,SG,148,0,32680.4,4507.64,28172.76,223.11,41.53,45743.65,-17570.89,0.71,rojo,Problema
2026-01-15,3,Jueves,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-15,3,Jueves,SG-002-MER-PDM,SG,111,0,19935.69,3189.71,23125.4,181.99,36.98,22177.42,-2241.73,0.9,amarillo,Riesgo
2026-01-16,3,Viernes,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-16,3,Viernes,SG-002-MER-PDM,SG,156,0,27988.1,4478.1,32466.2,208.64,40.22,22177.42,5810.68,1.0,verde,Excelente
2026-01-16,3,Viernes,SG-001-MER-LAISLA,SG,179,0,35386.3,4880.87,30505.43,214.1,41.12,45743.65,-15238.22,0.77,rojo,Problema
2026-01-17,3,Sábado,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-17,3,Sábado,SG-002-MER-PDM,SG,156,0,34317.41,5490.79,39808.2,196.38,42.3,22177.42,12139.99,1.0,verde,Excelente
2026-01-17,3,Sábado,SG-001-MER-LAISLA,SG,223,0,53329.0,7355.72,45973.28,222.68,39.46,45743.65,229.63,1.0,verde,Excelente
2026-01-18,3,Domingo,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
2026-01-18,3,Domingo,SG-002-MER-PDM,SG,214,0,44989.31,7198.29,52187.6,250.97,41.87,22177.42,22811.89,1.0,verde,Excelente
2026-01-18,3,Domingo,SG-001-MER-LAISLA,SG,240,0,57340.0,7908.97,49431.03,229.67,38.92,45743.65,3687.39,1.0,verde,Excelente
2026-01-19,4,Lunes,SG-002-MER-PDM,SG,100,0,15883.88,2541.42,18425.3,197.15,37.52,22177.42,-6293.54,0.72,rojo,Problema
2026-01-19,4,Lunes,SG-001-MER-LAISLA,SG,167,0,32942.7,4543.82,28398.88,201.74,39.38,45743.65,-17344.77,0.72,rojo,Problema
2026-01-19,4,Lunes,AMC-001-MER-MAIN,AMC,0,0,0.0,0.0,0.0,,,36087.1,-36087.1,0.0,rojo,Problema
