brand_code,plataforma,periodo,metrica,valor
SG,Instagram Orgánico,2026-02,Alcance,17280.0
SG,Instagram Orgánico,2026-03,Alcance,113970.0
SG,Instagram Orgánico,2026-04,Alcance,167492.0
SG,Instagram Orgánico,2026-05,Alcance,163073.0
SG,Instagram Orgánico,2026-02,Visualizaciones,27527.0
SG,Instagram Orgánico,2026-03,Visualizaciones,169027.0
SG,Instagram Orgánico,2026-04,Visualizaciones,252616.0
SG,Instagram Orgánico,2026-05,Visualizaciones,193565.0
SG,Instagram Orgánico,2026-02,Visitas al perfil,1323.0
SG,Instagram Orgánico,2026-03,Visitas al perfil,9566.0
SG,Instagram Orgánico,2026-04,Visitas al perfil,9964.0
SG,Instagram Orgánico,2026-05,Visitas al perfil,6950.0
SG,Instagram Orgánico,2026-02,Interacciones,267.0
SG,Instagram Orgánico,2026-03,Interacciones,2516.0
SG,Instagram Orgánico,2026-04,Interacciones,2303.0
SG,Instagram Orgánico,2026-05,Interacciones,2750.0
SG,Instagram Orgánico,2026-02,Clics en enlace,660.0
SG,Instagram Orgánico,2026-03,Clics en enlace,4768.0
SG,Instagram Orgánico,2026-04,Clics en enlace,6550.0
SG,Instagram Orgánico,2026-05,Clics en enlace,4145.0
SG,Instagram Orgánico,2026-02,Seguidores ganados,87.0
SG,Instagram Orgánico,2026-03,Seguidores ganados,844.0
SG,Instagram Orgánico,2026-04,Seguidores ganados,852.0
SG,Instagram Orgánico,2026-05,Seguidores ganados,476.0
SG,Instagram Orgánico,2026-02,Espectadores,24772.0
SG,Instagram Orgánico,2026-03,Espectadores,251551.0
SG,Instagram Orgánico,2026-04,Espectadores,331876.0
SG,Instagram Orgánico,2026-05,Espectadores,507873.0
SG,Instagram Orgánico,2026-02,Visualizaciones,32630.0
SG,Instagram Orgánico,2026-03,Visualizaciones,329644.0
SG,Instagram Orgánico,2026-04,Visualizaciones,411747.0
SG,Instagram Orgánico,2026-05,Visualizaciones,717052.0
SG,Instagram Orgánico,2026-02,Visitas al perfil,2363.0
SG,Instagram Orgánico,2026-03,Visitas al perfil,18915.0
SG,Instagram Orgánico,2026-04,Visitas al perfil,20983.0
SG,Instagram Orgánico,2026-05,Visitas al perfil,23047.0
SG,Instagram Orgánico,2026-02,Interacciones,115.0
SG,Instagram Orgánico,2026-03,Interacciones,1452.0
SG,Instagram Orgánico,2026-04,Interacciones,1504.0
SG,Instagram Orgánico,2026-05,Interacciones,1289.0
SG,Instagram Orgánico,2026-02,Clics en enlace,161.0
SG,Instagram Orgánico,2026-03,Clics en enlace,2429.0
SG,Instagram Orgánico,2026-04,Clics en enlace,5282.0
SG,Instagram Orgánico,2026-05,Clics en enlace,7645.0
SG,Instagram Orgánico,2026-02,Seguidores ganados,70.0
SG,Instagram Orgánico,2026-03,Seguidores ganados,669.0
SG,Instagram Orgánico,2026-04,Seguidores ganados,576.0
SG,Instagram Orgánico,2026-05,Seguidores ganados,321.0
AMC,Instagram Orgánico,2026-02,Alcance,22634.0
AMC,Instagram Orgánico,2026-03,Alcance,272364.0
AMC,Instagram Orgánico,2026-04,Alcance,290158.0
AMC,Instagram Orgánico,2026-05,Alcance,89457.0
AMC,Instagram Orgánico,2026-02,Visualizaciones,46649.0
AMC,Instagram Orgánico,2026-03,Visualizaciones,447166.0
AMC,Instagram Orgánico,2026-04,Visualizaciones,406826.0
AMC,Instagram Orgánico,2026-05,Visualizaciones,194747.0
AMC,Instagram Orgánico,2026-02,Visitas al perfil,1337.0
AMC,Instagram Orgánico,2026-03,Visitas al perfil,12870.0
AMC,Instagram Orgánico,2026-04,Visitas al perfil,12214.0
AMC,Instagram Orgánico,2026-05,Visitas al perfil,5355.0
AMC,Instagram Orgánico,2026-02,Interacciones,284.0
AMC,Instagram Orgánico,2026-03,Interacciones,5262.0
AMC,Instagram Orgánico,2026-04,Interacciones,3711.0
AMC,Instagram Orgánico,2026-05,Interacciones,1630.0
AMC,Instagram Orgánico,2026-02,Clics en enlace,369.0
AMC,Instagram Orgánico,2026-03,Clics en enlace,6197.0
AMC,Instagram Orgánico,2026-04,Clics en enlace,7666.0
AMC,Instagram Orgánico,2026-05,Clics en enlace,1831.0
AMC,Instagram Orgánico,2026-02,Seguidores ganados,159.0
AMC,Instagram Orgánico,2026-03,Seguidores ganados,1245.0
