branch_code,brand_code,periodo,kpi_code,kpi_nombre,valor,unidad,meta,umbral_amarillo,semaforo,venta_neta,meta_mxn
AMC-001-MER-MAIN,AMC,2026-01,VTA_VS_META,Venta vs Meta,0.01,%,95.0,85.0,rojo,109.0,1118700.1
AMC-001-MER-MAIN,AMC,2026-02,VTA_VS_META,Venta vs Meta,120.68,%,95.0,85.0,verde,1350089.36,1118699.96
AMC-001-MER-MAIN,AMC,2026-03,VTA_VS_META,Venta vs Meta,169.14,%,95.0,85.0,verde,1892136.08,1118700.1
AMC-001-MER-MAIN,AMC,2026-04,VTA_VS_META,Venta vs Meta,157.18,%,95.0,85.0,verde,1758420.99,1118700.0
AMC-001-MER-MAIN,AMC,2026-05,VTA_VS_META,Venta vs Meta,173.23,%,95.0,85.0,verde,1500362.33,866090.4
SG-001-MER-LAISLA,SG,2026-01,VTA_VS_META,Venta vs Meta,87.23,%,95.0,85.0,amarillo,1237027.25,1418053.15
SG-001-MER-LAISLA,SG,2026-02,VTA_VS_META,Venta vs Meta,66.9,%,95.0,85.0,rojo,948619.7,1418053.0
SG-001-MER-LAISLA,SG,2026-03,VTA_VS_META,Venta vs Meta,80.47,%,95.0,85.0,rojo,1141096.93,1418053.15
SG-001-MER-LAISLA,SG,2026-04,VTA_VS_META,Venta vs Meta,74.86,%,95.0,85.0,rojo,1061491.01,1418053.2
SG-001-MER-LAISLA,SG,2026-05,VTA_VS_META,Venta vs Meta,68.47,%,95.0,85.0,rojo,751719.86,1097847.6
SG-002-MER-PDM,SG,2026-01,VTA_VS_META,Venta vs Meta,126.41,%,95.0,85.0,verde,869066.2,687500.02
SG-002-MER-PDM,SG,2026-02,VTA_VS_META,Venta vs Meta,91.43,%,95.0,85.0,amarillo,628595.8,687499.96
SG-002-MER-PDM,SG,2026-03,VTA_VS_META,Venta vs Meta,65.17,%,95.0,85.0,rojo,448069.19,687500.02
SG-002-MER-PDM,SG,2026-04,VTA_VS_META,Venta vs Meta,78.25,%,95.0,85.0,rojo,537989.87,687500.1
SG-002-MER-PDM,SG,2026-05,VTA_VS_META,Venta vs Meta,79.74,%,95.0,85.0,rojo,424435.37,532258.08
CORP-001-MER-MAIN,,2026-01,MARGEN_NETO_PCT,Margen Neto,,%,15.0,8.0,sin_datos,0.0,
CORP-001-MER-MAIN,,2026-02,MARGEN_NETO_PCT,Margen Neto,4.54,%,15.0,8.0,rojo,1350089.36,
CORP-001-MER-MAIN,,2026-03,MARGEN_NETO_PCT,Margen Neto,16.9,%,15.0,8.0,verde,1892136.08,
CORP-001-MER-MAIN,,2026-04,MARGEN_NETO_PCT,Margen Neto,14.86,%,15.0,8.0,amarillo,1758420.99,
SG-001-MER-LAISLA,,2026-01,MARGEN_NETO_PCT,Margen Neto,29.18,%,15.0,8.0,verde,1046817.0,
SG-001-MER-LAISLA,,2026-02,MARGEN_NETO_PCT,Margen Neto,-2.01,%,15.0,8.0,rojo,818634.0,
SG-001-MER-LAISLA,,2026-03,MARGEN_NETO_PCT,Margen Neto,16.18,%,15.0,8.0,verde,983701.0,
SG-001-MER-LAISLA,,2026-04,MARGEN_NETO_PCT,Margen Neto,13.48,%,15.0,8.0,amarillo,915076.0,
SG-002-MER-PDM,,2026-01,MARGEN_NETO_PCT,Margen Neto,48.04,%,15.0,8.0,verde,888648.0,
SG-002-MER-PDM,,2026-02,MARGEN_NETO_PCT,Margen Neto,18.02,%,15.0,8.0,verde,628596.0,
SG-002-MER-PDM,,2026-03,MARGEN_NETO_PCT,Margen Neto,-28.65,%,15.0,8.0,rojo,448068.0,
SG-002-MER-PDM,,2026-04,MARGEN_NETO_PCT,Margen Neto,4.83,%,15.0,8.0,rojo,538944.0,
AMC-001-MER-MAIN,AMC,2026-05,ROTACION_PCT,Rotación de Personal,20.0,%,10.0,15.0,rojo,,
SG-001-MER-LAISLA,SG,2026-05,ROTACION_PCT,Rotación de Personal,11.1,%,10.0,15.0,amarillo,,
SG-002-MER-PDM,SG,2026-05,ROTACION_PCT,Rotación de Personal,14.3,%,10.0,15.0,amarillo,,
CORP-001-MER-MAIN,CORP,2026-05,ROTACION_PCT,Rotación de Personal,0.0,%,10.0,15.0,verde,,
AMC-MKT,AMC,2026-Q1Q2,MKT_CXR_META,Costo por Resultado Meta Ads,0.88,MXN,0.75,1.0,amarillo,,25122.19
SG-MKT,SG,2026-Q1Q2,MKT_CXR_META,Costo por Resultado Meta Ads,0.88,MXN,0.75,1.0,amarillo,,27174.17
